,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
345,CIFR,Cipher Mining Inc.,1.05B,4.39%,3065451,-
346,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.03B,0.04%,6023,166.67M
347,CSWC,Capital Southwest Corporation,1.03B,-0.40%,89888,168.90M
348,BCSF,"Bain Capital Specialty Finance, Inc.",1.02B,-0.25%,28700,297.79M
349,VBTX,"Veritex Holdings, Inc.",1.02B,0.43%,24967,377.75M
350,SCRM,Screaming Eagle Acquisition Corp.,1.00B,0.05%,163135,-
351,PFBC,Preferred Bank,988.72M,0.25%,10543,351.76M
352,BBDC,"Barings BDC, Inc.",979.00M,0.22%,91072,289.20M
353,CVII,Churchill Capital Corp VII,976.99M,0.05%,255,-
354,PEBO,Peoples Bancorp Inc.,972.51M,-0.05%,9206,411.61M
355,AMSF,"AMERISAFE, Inc.",966.89M,-0.04%,10288,306.85M
356,BHLB,"Berkshire Hills Bancorp, Inc.",957.12M,-0.59%,14691,411.83M
357,PX,"P10, Inc.",951.35M,-1.16%,45285,241.73M
358,RBCAA,"Republic Bancorp, Inc.",947.44M,-1.72%,2265,312.61M
359,GABC,"German American Bancorp, Inc.",946.71M,-0.38%,10531,248.14M
360,SASR,"Sandy Spring Bancorp, Inc.",941.05M,-0.26%,16268,439.19M
361,QCRH,"QCR Holdings, Inc.",939.90M,-0.30%,4733,337.15M
362,MFIC,MidCap Financial Investment Corporation,937.04M,0.59%,97335,276.52M
363,SII,Sprott Inc.,935.21M,-0.72%,5174,169.02M
364,MTAL,Metals Acquisition Corp,907.85M,-0.23%,47882,302.46M
365,BY,"Byline Bancorp, Inc.",902.22M,-0.89%,4711,355.28M
