,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
218,SLAB,Silicon Laboratories Inc.,4.18B,-0.29%,18605,782.26M
219,BL,"BlackLine, Inc.",4.04B,-2.03%,169501,590.00M
220,CNXC,Concentrix Corporation,4.03B,-2.03%,61456,7.11B
221,IPGP,IPG Photonics Corporation,4.02B,1.29%,23217,1.29B
222,POWI,"Power Integrations, Inc.",3.99B,1.07%,16944,444.54M
223,ITRI,"Itron, Inc.",3.96B,-0.01%,21857,2.17B
224,SYNA,Synaptics Incorporated,3.87B,1.37%,23027,1.03B
225,RELY,"Remitly Global, Inc.",3.79B,-0.15%,84261,944.29M
226,BLKB,"Blackbaud, Inc.",3.79B,0.31%,14085,1.11B
227,DXC,DXC Technology Company,3.77B,-0.92%,247608,13.87B
228,TDC,Teradata Corporation,3.70B,-0.13%,118927,1.83B
229,SATS,EchoStar Corporation,3.68B,-3.10%,219194,17.02B
230,ALRM,"Alarm.com Holdings, Inc.",3.65B,0.04%,13948,881.68M
231,ASAN,"Asana, Inc.",3.59B,-0.38%,644738,652.50M
232,CXM,"Sprinklr, Inc.",3.57B,0.15%,117008,703.48M
233,DOCN,"DigitalOcean Holdings, Inc.",3.55B,0.95%,166780,692.88M
234,BDC,Belden Inc.,3.55B,0.22%,19401,2.51B
235,AI,"C3.ai, Inc.",3.53B,-0.90%,1338498,296.40M
236,SEDG,"SolarEdge Technologies, Inc.",3.52B,-1.33%,379141,2.98B
237,ACLS,"Axcelis Technologies, Inc.",3.51B,2.22%,67172,1.13B
238,AYX,"Alteryx, Inc.",3.49B,0.01%,961540,970.00M
239,CLSK,"CleanSpark, Inc.",3.45B,-5.22%,6982770,214.38M
240,AUR,"Aurora Innovation, Inc.",3.44B,1.12%,846717,-
241,PYCR,"Paycor HCM, Inc.",3.44B,0.57%,50918,604.65M
242,TSEM,Tower Semiconductor Ltd.,3.43B,1.94%,54770,1.42B
243,CAMT,Camtek Ltd.,3.42B,3.30%,63867,315.38M
244,PWSC,"PowerSchool Holdings, Inc.",3.41B,-0.61%,22369,697.65M
245,ACIW,"ACI Worldwide, Inc.",3.39B,0.25%,53664,1.45B
246,NCNO,"nCino, Inc.",3.35B,-0.37%,27003,462.03M
247,PI,"Impinj, Inc.",3.34B,0.44%,32001,307.54M
248,SANM,Sanmina Corporation,3.32B,-0.23%,29978,8.45B
249,FORM,"FormFactor, Inc.",3.31B,0.97%,42188,663.10M
250,WOLF,"Wolfspeed, Inc.",3.28B,-3.74%,585039,870.30M
251,RNG,"RingCentral, Inc.",3.23B,0.11%,143720,2.20B
252,SPT,"Sprout Social, Inc.",3.17B,-0.43%,43373,333.64M
253,INST,"Instructure Holdings, Inc.",3.15B,0.37%,16485,530.21M
254,FLYW,Flywire Corporation,3.14B,-0.25%,76804,403.09M
255,RPD,"Rapid7, Inc.",3.12B,-0.14%,128634,777.71M
256,CRDO,Credo Technology Group Holding Ltd,3.11B,0.37%,109730,164.28M
257,LITE,Lumentum Holdings Inc.,3.07B,3.15%,162337,1.44B
258,MQ,"Marqeta, Inc.",3.05B,0.67%,583649,676.17M
259,VSH,"Vishay Intertechnology, Inc.",3.05B,-1.01%,92338,3.40B
260,DIOD,Diodes Incorporated,3.05B,0.29%,31900,1.66B
261,NVEI,Nuvei Corporation,3.05B,25.90%,1075508,1.19B
262,SRAD,Sportradar Group AG,3.01B,-1.97%,72360,884.39M
263,RIOT,"Riot Blockchain, Inc.",2.94B,-2.59%,3865917,280.68M
264,ENV,"Envestnet, Inc.",2.93B,0.52%,27710,1.25B
265,YOU,"Clear Secure, Inc.",2.91B,-0.13%,69701,613.58M
266,PAY,"Paymentus Holdings, Inc.",2.87B,-0.95%,63434,614.49M
267,QTWO,"Q2 Holdings, Inc.",2.86B,-0.06%,28051,624.62M
268,SOUN,"SoundHound AI, Inc.",2.75B,-6.17%,33553487,45.87M
269,KLIC,"Kulicke and Soffa Industries, Inc.",2.68B,2.48%,39752,737.45M
270,APPN,Appian Corporation,2.66B,-1.09%,58029,545.36M
271,ESE,ESCO Technologies Inc.,2.60B,-0.81%,4969,968.85M
272,AVDX,"AvidXchange Holdings, Inc.",2.54B,1.01%,198209,380.72M
